GameDate,GameID,Home,Away
2014-10-08,20001,TORONTO,MONTREAL
2014-10-08,20002,BOSTON,PHILADELPHIA
2014-10-08,20003,CALGARY,VANCOUVER
2014-10-08,20004,LOS ANGELES,SAN JOSE
2014-10-09,20005,BUFFALO,COLUMBUS
2014-10-09,20006,PHILADELPHIA,NEW JERSEY
2014-10-09,20007,PITTSBURGH,ANAHEIM
2014-10-09,20008,WASHINGTON,MONTREAL
2014-10-09,20009,DETROIT,BOSTON
2014-10-09,20010,TAMPA BAY,FLORIDA
2014-10-09,20011,ST. LOUIS,NY RANGERS
2014-10-09,20012,NASHVILLE,OTTAWA
2014-10-09,20013,DALLAS,CHICAGO
2014-10-09,20014,MINNESOTA,COLORADO
2014-10-09,20015,EDMONTON,CALGARY
2014-10-09,20016,ARIZONA,WINNIPEG
2014-10-10,20017,CAROLINA,NY ISLANDERS
2014-10-11,20018,BOSTON,WASHINGTON
2014-10-11,20019,TORONTO,PITTSBURGH
2014-10-11,20020,DETROIT,ANAHEIM
2014-10-11,20021,TAMPA BAY,OTTAWA
2014-10-11,20022,FLORIDA,NEW JERSEY
2014-10-11,20023,NY ISLANDERS,CAROLINA
2014-10-11,20024,PHILADELPHIA,MONTREAL
2014-10-11,20025,COLUMBUS,NY RANGERS
2014-10-11,20026,ST. LOUIS,CALGARY
2014-10-11,20027,NASHVILLE,DALLAS
2014-10-11,20028,CHICAGO,BUFFALO
2014-10-11,20029,COLORADO,MINNESOTA
2014-10-11,20030,ARIZONA,LOS ANGELES
2014-10-11,20031,VANCOUVER,EDMONTON
2014-10-11,20032,SAN JOSE,WINNIPEG
2014-10-12,20033,NY RANGERS,TORONTO
2014-10-12,20034,LOS ANGELES,WINNIPEG
2014-10-13,20035,BOSTON,COLORADO
2014-10-13,20036,BUFFALO,ANAHEIM
2014-10-13,20037,FLORIDA,OTTAWA
2014-10-13,21194,TAMPA BAY,MONTREAL
2014-10-14,20038,NY RANGERS,NY ISLANDERS
2014-10-14,20039,PHILADELPHIA,ANAHEIM
2014-10-14,20040,WASHINGTON,SAN JOSE
2014-10-14,20042,COLUMBUS,DALLAS
2014-10-14,20041,CAROLINA,BUFFALO
2014-10-14,20043,TORONTO,COLORADO
2014-10-14,20044,TAMPA BAY,NEW JERSEY
2014-10-14,20045,NASHVILLE,CALGARY
2014-10-14,20046,LOS ANGELES,EDMONTON
2014-10-15,20047,DETROIT,BOSTON
2014-10-15,20048,CHICAGO,CALGARY
2014-10-15,20049,ARIZONA,EDMONTON
2014-10-16,20050,NY ISLANDERS,SAN JOSE
2014-10-16,20051,PITTSBURGH,DALLAS
2014-10-16,20052,WASHINGTON,NEW JERSEY
2014-10-16,20057,NY RANGERS,CAROLINA
2014-10-16,20053,MONTREAL,BOSTON
2014-10-16,20054,OTTAWA,COLORADO
2014-10-16,20055,LOS ANGELES,ST. LOUIS
2014-10-17,20056,BUFFALO,FLORIDA
2014-10-17,20058,COLUMBUS,CALGARY
2014-10-17,20059,TORONTO,DETROIT
2014-10-17,20060,WINNIPEG,NASHVILLE
2014-10-17,20061,EDMONTON,VANCOUVER
2014-10-17,20062,ANAHEIM,MINNESOTA
2014-10-18,20063,BUFFALO,BOSTON
2014-10-18,20064,MONTREAL,COLORADO
2014-10-18,20065,OTTAWA,COLUMBUS
2014-10-18,20066,DETROIT,TORONTO
2014-10-18,20067,NEW JERSEY,SAN JOSE
2014-10-18,20068,PITTSBURGH,NY ISLANDERS
2014-10-18,20069,WASHINGTON,FLORIDA
2014-10-18,20070,DALLAS,PHILADELPHIA
2014-10-18,20071,CHICAGO,NASHVILLE
2014-10-18,20072,ARIZONA,ST. LOUIS
2014-10-18,20073,VANCOUVER,TAMPA BAY
2014-10-19,20074,LOS ANGELES,MINNESOTA
2014-10-19,20075,NY RANGERS,SAN JOSE
2014-10-19,20076,WINNIPEG,CALGARY
2014-10-19,20077,ANAHEIM,ST. LOUIS
2014-10-20,20078,EDMONTON,TAMPA BAY
2014-10-21,20079,BOSTON,SAN JOSE
2014-10-21,20080,NEW JERSEY,NY RANGERS
2014-10-21,20081,NY ISLANDERS,TORONTO
2014-10-21,20082,MONTREAL,DETROIT
2014-10-21,20083,NASHVILLE,ARIZONA
2014-10-21,20084,WINNIPEG,CAROLINA
2014-10-21,20085,CHICAGO,PHILADELPHIA
2014-10-21,20086,DALLAS,VANCOUVER
2014-10-21,20087,COLORADO,FLORIDA
2014-10-21,20088,CALGARY,TAMPA BAY
2014-11-09,20089,OTTAWA,TORONTO
2014-10-22,20090,PITTSBURGH,PHILADELPHIA
2014-10-22,20091,EDMONTON,WASHINGTON
2014-10-22,20092,ANAHEIM,BUFFALO
2014-10-23,20093,BOSTON,NY ISLANDERS
2014-10-23,20094,DETROIT,PITTSBURGH
2014-10-23,20095,ST. LOUIS,VANCOUVER
2014-10-23,20096,NASHVILLE,CHICAGO
2014-10-23,20097,MINNESOTA,ARIZONA
2014-10-23,20098,CALGARY,CAROLINA
2014-10-23,20099,LOS ANGELES,BUFFALO
2014-10-23,20100,SAN JOSE,COLUMBUS
2014-10-24,20101,NEW JERSEY,DALLAS
2014-10-24,20102,WINNIPEG,TAMPA BAY
2014-10-24,20103,COLORADO,VANCOUVER
2014-10-24,20104,EDMONTON,CAROLINA
2014-10-24,20105,ANAHEIM,COLUMBUS
2014-10-25,20106,SAN JOSE,BUFFALO
2014-10-25,20107,TORONTO,BOSTON
2014-10-25,20108,MONTREAL,NY RANGERS
2014-10-25,20109,OTTAWA,NEW JERSEY
2014-10-25,20110,NY ISLANDERS,DALLAS
2014-10-25,20111,PHILADELPHIA,DETROIT
2014-10-25,20112,ST. LOUIS,CHICAGO
2014-10-25,20113,NASHVILLE,PITTSBURGH
2014-10-25,20114,MINNESOTA,TAMPA BAY
2014-10-25,20115,ARIZONA,FLORIDA
2014-10-25,20116,CALGARY,WASHINGTON
2014-10-26,20117,WINNIPEG,COLORADO
2014-10-26,20118,LOS ANGELES,COLUMBUS
2014-10-26,20119,CHICAGO,OTTAWA
2014-10-26,20120,ANAHEIM,SAN JOSE
2014-10-26,20121,VANCOUVER,WASHINGTON
2014-10-27,20122,NY RANGERS,MINNESOTA
2014-10-27,20123,EDMONTON,MONTREAL
2014-10-28,20124,BOSTON,MINNESOTA
2014-10-28,20125,NY ISLANDERS,WINNIPEG
2014-10-28,20126,PHILADELPHIA,LOS ANGELES
2014-10-28,20127,PITTSBURGH,NEW JERSEY
2014-10-28,20128,COLUMBUS,OTTAWA
2014-10-28,20129,TORONTO,BUFFALO
2014-10-28,20130,TAMPA BAY,ARIZONA
2014-10-28,20131,CHICAGO,ANAHEIM
2014-10-28,20132,DALLAS,ST. LOUIS
2014-10-28,20133,COLORADO,SAN JOSE
2014-10-28,20134,CALGARY,MONTREAL
2014-10-28,20135,VANCOUVER,CAROLINA
2014-10-29,20136,WASHINGTON,DETROIT
2014-10-29,20137,EDMONTON,NASHVILLE
2014-10-30,20138,BUFFALO,BOSTON
2014-10-30,20139,NEW JERSEY,WINNIPEG
2014-10-30,20140,PITTSBURGH,LOS ANGELES
2014-10-30,20141,OTTAWA,CHICAGO
2014-10-30,20142,TAMPA BAY,PHILADELPHIA
2014-10-30,20143,FLORIDA,ARIZONA
2014-10-30,20144,ST. LOUIS,ANAHEIM
2014-10-30,20145,MINNESOTA,SAN JOSE
2014-10-30,20146,COLORADO,NY ISLANDERS
2014-10-30,20147,VANCOUVER,MONTREAL
2014-10-31,20148,COLUMBUS,TORONTO
2014-10-31,20149,DETROIT,LOS ANGELES
2014-10-31,20150,DALLAS,ANAHEIM
2014-10-31,20151,CALGARY,NASHVILLE
2014-11-01,20153,BOSTON,OTTAWA
2014-11-01,20154,TORONTO,CHICAGO
2014-11-01,20155,TAMPA BAY,WASHINGTON
2014-11-01,20156,FLORIDA,PHILADELPHIA
2014-11-01,20157,NEW JERSEY,COLUMBUS
2014-11-01,20158,NY RANGERS,WINNIPEG
2014-11-01,20159,PITTSBURGH,BUFFALO
