gameid,Away,AwayID,Home,HomeID
1,MONTREAL,19,TORONTO,22
2,PHILADELPHIA,28,BOSTON,15
3,VANCOUVER,7,CALGARY,2
4,SAN JOSE,6,LOS ANGELES,4
5,COLUMBUS,24,BUFFALO,16
6,NEW JERSEY,25,PHILADELPHIA,28
7,ANAHEIM,1,PITTSBURGH,29
8,MONTREAL,19,WASHINGTON,30
9,BOSTON,15,DETROIT,17
10,FLORIDA,18,TAMPA BAY,21
11,NY RANGERS,27,ST. LOUIS,13
12,OTTAWA,20,NASHVILLE,12
13,CHICAGO,8,DALLAS,10
14,COLORADO,9,MINNESOTA,11
15,CALGARY,2,EDMONTON,3
16,WINNIPEG,14,ARIZONA,5
17,NY ISLANDERS,26,CAROLINA,23
18,WASHINGTON,30,BOSTON,15
19,PITTSBURGH,29,TORONTO,22
20,ANAHEIM,1,DETROIT,17
21,OTTAWA,20,TAMPA BAY,21
22,NEW JERSEY,25,FLORIDA,18
23,CAROLINA,23,NY ISLANDERS,26
24,MONTREAL,19,PHILADELPHIA,28
25,NY RANGERS,27,COLUMBUS,24
26,CALGARY,2,ST. LOUIS,13
27,DALLAS,10,NASHVILLE,12
28,BUFFALO,16,CHICAGO,8
29,MINNESOTA,11,COLORADO,9
30,LOS ANGELES,4,ARIZONA,5
31,EDMONTON,3,VANCOUVER,7
32,WINNIPEG,14,SAN JOSE,6
33,TORONTO,22,NY RANGERS,27
34,WINNIPEG,14,LOS ANGELES,4
35,COLORADO,9,BOSTON,15
36,ANAHEIM,1,BUFFALO,16
37,OTTAWA,20,FLORIDA,18
38,MONTREAL,19,TAMPA BAY,21
39,NY ISLANDERS,26,NY RANGERS,27
40,ANAHEIM,1,PHILADELPHIA,28
41,SAN JOSE,6,WASHINGTON,30
42,DALLAS,10,COLUMBUS,24
43,BUFFALO,16,CAROLINA,23
44,COLORADO,9,TORONTO,22
45,NEW JERSEY,25,TAMPA BAY,21
46,CALGARY,2,NASHVILLE,12
47,EDMONTON,3,LOS ANGELES,4
48,BOSTON,15,DETROIT,17
49,CALGARY,2,CHICAGO,8
50,EDMONTON,3,ARIZONA,5
51,SAN JOSE,6,NY ISLANDERS,26
52,DALLAS,10,PITTSBURGH,29
53,NEW JERSEY,25,WASHINGTON,30
54,CAROLINA,23,NY RANGERS,27
55,BOSTON,15,MONTREAL,19
56,COLORADO,9,OTTAWA,20
57,ST. LOUIS,13,LOS ANGELES,4
58,FLORIDA,18,BUFFALO,16
59,CALGARY,2,COLUMBUS,24
60,DETROIT,17,TORONTO,22
61,NASHVILLE,12,WINNIPEG,14
62,VANCOUVER,7,EDMONTON,3
63,MINNESOTA,11,ANAHEIM,1
64,BOSTON,15,BUFFALO,16
65,COLORADO,9,MONTREAL,19
66,COLUMBUS,24,OTTAWA,20
67,TORONTO,22,DETROIT,17
68,SAN JOSE,6,NEW JERSEY,25
69,NY ISLANDERS,26,PITTSBURGH,29
70,FLORIDA,18,WASHINGTON,30
71,PHILADELPHIA,28,DALLAS,10
72,NASHVILLE,12,CHICAGO,8
73,ST. LOUIS,13,ARIZONA,5
74,TAMPA BAY,21,VANCOUVER,7
75,MINNESOTA,11,LOS ANGELES,4
76,SAN JOSE,6,NY RANGERS,27
77,CALGARY,2,WINNIPEG,14
78,ST. LOUIS,13,ANAHEIM,1
79,TAMPA BAY,21,EDMONTON,3
80,SAN JOSE,6,BOSTON,15
81,NY RANGERS,27,NEW JERSEY,25
82,TORONTO,22,NY ISLANDERS,26
83,DETROIT,17,MONTREAL,19
84,ARIZONA,5,NASHVILLE,12
85,CAROLINA,23,WINNIPEG,14
86,PHILADELPHIA,28,CHICAGO,8
87,VANCOUVER,7,DALLAS,10
88,FLORIDA,18,COLORADO,9
89,TAMPA BAY,21,CALGARY,2
90,TORONTO,22,OTTAWA,20
91,PHILADELPHIA,28,PITTSBURGH,29
92,WASHINGTON,30,EDMONTON,3
93,BUFFALO,16,ANAHEIM,1
94,NY ISLANDERS,26,BOSTON,15
95,PITTSBURGH,29,DETROIT,17
96,VANCOUVER,7,ST. LOUIS,13
97,CHICAGO,8,NASHVILLE,12
98,ARIZONA,5,MINNESOTA,11
99,CAROLINA,23,CALGARY,2
100,BUFFALO,16,LOS ANGELES,4
101,COLUMBUS,24,SAN JOSE,6
102,DALLAS,10,NEW JERSEY,25
103,TAMPA BAY,21,WINNIPEG,14
104,VANCOUVER,7,COLORADO,9
105,CAROLINA,23,EDMONTON,3
106,COLUMBUS,24,ANAHEIM,1
107,BUFFALO,16,SAN JOSE,6
108,BOSTON,15,TORONTO,22
109,NY RANGERS,27,MONTREAL,19
110,NEW JERSEY,25,OTTAWA,20
111,DALLAS,10,NY ISLANDERS,26
112,DETROIT,17,PHILADELPHIA,28
113,CHICAGO,8,ST. LOUIS,13
114,PITTSBURGH,29,NASHVILLE,12
115,TAMPA BAY,21,MINNESOTA,11
116,FLORIDA,18,ARIZONA,5
117,WASHINGTON,30,CALGARY,2
118,COLORADO,9,WINNIPEG,14
119,COLUMBUS,24,LOS ANGELES,4
120,OTTAWA,20,CHICAGO,8
121,SAN JOSE,6,ANAHEIM,1
122,WASHINGTON,30,VANCOUVER,7
123,MINNESOTA,11,NY RANGERS,27
124,MONTREAL,19,EDMONTON,3
125,MINNESOTA,11,BOSTON,15
126,WINNIPEG,14,NY ISLANDERS,26
127,LOS ANGELES,4,PHILADELPHIA,28
128,NEW JERSEY,25,PITTSBURGH,29
129,OTTAWA,20,COLUMBUS,24
130,BUFFALO,16,TORONTO,22
131,ARIZONA,5,TAMPA BAY,21
132,ANAHEIM,1,CHICAGO,8
133,ST. LOUIS,13,DALLAS,10
134,SAN JOSE,6,COLORADO,9
135,MONTREAL,19,CALGARY,2
136,CAROLINA,23,VANCOUVER,7
137,DETROIT,17,WASHINGTON,30
138,NASHVILLE,12,EDMONTON,3
139,BOSTON,15,BUFFALO,16
140,WINNIPEG,14,NEW JERSEY,25
141,LOS ANGELES,4,PITTSBURGH,29
142,CHICAGO,8,OTTAWA,20
143,PHILADELPHIA,28,TAMPA BAY,21
144,ARIZONA,5,FLORIDA,18
145,ANAHEIM,1,ST. LOUIS,13
146,SAN JOSE,6,MINNESOTA,11
147,NY ISLANDERS,26,COLORADO,9
148,MONTREAL,19,VANCOUVER,7
149,TORONTO,22,COLUMBUS,24
150,LOS ANGELES,4,DETROIT,17
151,ANAHEIM,1,DALLAS,10
152,NASHVILLE,12,CALGARY,2
153,OTTAWA,20,BOSTON,15
154,CHICAGO,8,TORONTO,22
155,WASHINGTON,30,TAMPA BAY,21
156,PHILADELPHIA,28,FLORIDA,18
157,COLUMBUS,24,NEW JERSEY,25
158,WINNIPEG,14,NY RANGERS,27
159,BUFFALO,16,PITTSBURGH,29
160,ARIZONA,5,CAROLINA,23
161,COLORADO,9,ST. LOUIS,13
162,DALLAS,10,MINNESOTA,11
163,VANCOUVER,7,EDMONTON,3
