Team,GF,GA,G_diff,SF,SA,W,L,OT,P,TeamID
ANA,209.1252756,212.5701566,-3.444880975,2453.099274,2514.8089,40.42585317,31.18061012,10.39353671,91.24524305,1
CGY,195.0109181,222.6472965,-27.63637844,2287.533825,2569.173997,36.39393693,34.2045473,11.40151577,84.18938962,2
EDM,219.038126,224.7954971,-5.757371131,2569.379843,2576.450359,40.04043814,31.46967139,10.48989046,90.57076675,3
L.A,216.5639643,191.6073223,24.95664203,2540.35722,2317.947267,45.15944034,27.63041975,9.210139915,99.52902059,4
ARI,200.2714975,213.0525754,-12.78107792,2349.241926,2517.015473,38.86982035,32.34763474,10.78254491,88.52218561,5
S.J,216.8701561,205.1323793,11.73777679,2543.948937,2395.766657,42.95629613,29.2827779,9.760925967,95.67351823,6
VAN,204.2352923,209.635353,-5.400060666,2395.738372,2451.126182,40.09998989,31.42500758,10.47500253,90.67498231,7
CHI,239.6682367,204.1858633,35.48237336,2811.37694,2332.79118,46.91372889,26.31470333,8.771567777,102.5990256,8
COL,211.7078821,215.6704203,-3.9625382,2483.393987,2560.872028,40.33957697,31.24531728,10.41510576,91.09425969,9
DAL,229.0701438,212.5392788,16.53086501,2687.058281,2480.758704,43.75514417,28.68364187,9.561213958,97.07150229,10
MIN,206.4089575,217.5584232,-11.14946568,2421.236086,2516.324538,39.14175572,32.14368321,10.71456107,88.99807251,11
NSH,209.9922563,220.7997984,-10.80754215,2463.269205,2512.421587,39.19874297,32.10094277,10.70031426,89.09780021,12
STL,212.1196976,206.0764631,6.043234563,2488.224701,2431.627855,42.00720576,29.99459568,9.99819856,94.01261008,13
WPG,215.8241882,218.7492186,-2.925030383,2531.679435,2484.842768,40.51249494,31.1156288,10.37187627,91.39686614,14
BOS,223.6853682,192.1606037,31.52476447,2623.893324,2405.795848,46.25412741,26.80940444,8.936468147,101.444723,15
BUF,190.5696744,222.0030561,-31.43338167,2235.436767,2637.260099,35.76110305,34.67917271,11.55972424,83.08193034,16
DET,202.3947288,210.7914726,-8.396743744,2374.148036,2445.883572,39.60054271,31.79959297,10.59986432,89.80094974,17
FLA,192.8966256,215.9061547,-23.00952911,2262.73257,2467.543741,37.16507848,33.62619114,11.20873038,85.53888734,18
MTL,202.9100011,210.3438341,-7.433833003,2380.192327,2527.554899,39.76102783,31.67922913,10.55974304,90.08179871,19
OTT,211.2473854,208.1952171,3.05216825,2477.992229,2460.63898,41.50869471,30.36847897,10.12282632,93.14021574,20
T.B,226.5781309,214.2125056,12.36562526,2657.826257,2481.497213,43.06093754,29.20429684,9.734765614,95.8566407,21
TOR,208.9851543,215.0866878,-6.101533523,2451.455611,2603.582745,39.98307775,31.51269169,10.50423056,90.47038606,22
CAR,196.8734049,218.2015116,-21.32810665,2309.381329,2512.998177,37.44531556,33.41601333,11.13867111,86.02930223,23
CBJ,216.0002823,206.1649976,9.835284698,2533.745068,2495.195661,42.63921412,29.52058941,9.840196471,95.1186247,24
N.J,202.80449,207.8023122,-4.99782223,2378.954652,2414.884495,40.16702963,31.37472778,10.45824259,90.79230185,25
NYI,222.2047076,210.0324889,12.17221869,2606.524751,2478.019857,43.02870312,29.22847266,9.742824221,95.80023045,26
NYR,212.9931203,203.0893253,9.903795027,2498.470199,2461.439736,42.6506325,29.51202562,9.837341874,95.13860688,27
PHI,223.1616087,222.1132763,1.048332434,2617.749475,2526.663891,41.17472207,30.61895845,10.20631948,92.55576363,28
PIT,231.7791313,218.4674863,13.31164499,2718.835479,2489.722163,43.2186075,29.08604438,9.695348125,96.13256312,29
WSH,208.2444224,209.8698345,-1.625412108,2442.766614,2525.03415,40.72909798,30.95317651,10.3177255,91.77592147,30
